Year,Duration,Genre,Rating,Votes,Director
1975,133.0,"Drama, Romance",8.1,1406,Gulzar
1948,121.0,Drama,6.5,24,T.R. Sundaram
1964,143.0,"Action, Adventure, Romance",6.0,8,Mohammed Hussain
1985,144.0,Drama,6.1,49,Babbar Subhash
1952,136.0,Drama,7.4,30,Chetan Anand
1990,145.0,Drama,4.8,38,David Dhawan
1959,79.0,"Music, Romance",6.6,31,O.P. Dutta
1973,134.0,"Drama, Family",6.3,21,Nasir Hussain
1979,134.0,"Drama, Family",5.6,5,Harsh Kohli
2019,94.0,Drama,6.6,15,Fahim Irshad
1972,102.0,Family,6.0,6,Ramanna
2021,128.0,"Comedy, Family",6.9,71,Umesh Shukla
2004,133.0,Action,7.4,15,Nassar
1993,170.0,"Action, Comedy, Crime",6.7,1898,David Dhawan
1950,134.0,"Drama, Family",7.2,6,Devendra Goel
2002,165.0,"Crime, Drama, Thriller",7.4,12574,Vipul Amrutlal Shah
2021,108.0,Thriller,5.5,22,Abhinay Deo
1978,121.0,Drama,6.5,24,Rajinder Singh Bedi
1972,154.0,"Drama, Romance",6.4,28,Raghunath Jhalani
2005,130.0,Romance,5.7,21,Nilu Gavankar
1953,121.0,Drama,6.5,24,Shanti Kumar
1970,150.0,"Comedy, Drama, Family",6.5,24,P. Madhavan
1993,121.0,Drama,6.5,24,Hiren Goswani
1983,130.0,Romance,5.7,21,Unknown
2003,130.0,Romance,5.7,21,Unknown
1984,121.0,Drama,6.5,24,Murlidhar Kapdi
2021,121.0,Drama,6.5,24,Faheem Chaudhry
1964,76.0,Documentary,7.65,34,Pramod Pati
1964,137.0,"Drama, Romance",6.2,15,R.K. Nayyar
1983,121.0,Drama,6.5,24,Prakash Verma
1994,141.0,Romance,4.2,160,Ravindra Peepat
2009,140.0,"Comedy, Family, Fantasy",5.1,584,Glen Barreto
1971,119.0,"Comedy, Drama, Romance",6.6,80,Mohan Kumar
1976,145.0,"Drama, Family",5.7,32,Mohan Kumar
1948,121.0,Drama,6.5,24,Kumar
2003,123.5,Musical,5.300000000000001,11,Ruslaan Mumtaz
1988,130.0,Romance,5.7,21,Baby Bulbul
1980,130.0,Romance,5.8,204,Surendra Mohan
1986,121.0,Drama,5.7,49,J. Om Prakash
1974,153.0,"Romance, Drama",7.0,420,J. Om Prakash
1977,115.0,"Action, Comedy, Drama",6.3,27,Sudhendu Roy
2006,122.0,"Comedy, Romance",3.6,863,Dharmesh Darshan
1964,128.0,"Drama, Family, Romance",6.3,39,Mohan Kumar
2002,180.0,"Action, Drama, Romance",3.1,2366,Vikram Bhatt
1994,130.0,Romance,5.7,21,Ayush
1978,130.0,Romance,5.7,21,P. Sharma
1980,145.0,"Romance, Drama, Family",5.6,38,Ambrish Sangal
2009,121.0,Drama,6.0,10,Mandakini Mathur
1981,148.0,"Action, Romance",5.2,17,Harmesh Malhotra
2003,145.0,"Action, Comedy, Drama",4.5,273,Anubhav Sinha
1992,121.0,Drama,6.4,12,Sanjay Soorkar
1985,125.0,Action,6.1,44,Shakti Samanta
2004,133.0,Action,5.1,16,Genelia D'Souza
1997,180.0,Thriller,6.1,230,Ketan Mehta
2011,164.0,"Drama, Thriller",6.2,5170,Prakash Jha
1951,130.0,Romance,6.8,40,D.D. Kashyap
1976,121.0,Drama,6.5,24,Gyan Kumar
1957,210.0,Horror,5.9,7,Varalakshmi G.
1979,121.0,Drama,6.5,24,S.P. Muthuraman
1982,130.0,Romance,5.7,21,Kishore Kapoor
1974,129.0,Drama,6.7,13,Atma Ram
1954,146.0,"Musical, Romance, Thriller",6.6,250,Guru Dutt
1962,156.0,"Family, Musical, Romance",6.6,67,Phani Majumdar
2007,157.0,"Action, Drama, Romance",4.6,191,Balasekaran
1992,130.0,Romance,5.7,21,Mani Nair
2019,125.0,"Action, Drama, Fantasy",5.25,189,Mitesh Kumar Patel
1988,133.0,Action,5.1,16,Ramya Krishnan
